alpha,beta,gamma,n_a,n_ok,n_capped,n_timeout,timeout_frac,timeout_warning,mean_fitness,std_fitness,mean_mei,std_mei,mean_ncf,std_ncf,mean_dissipation,std_dissipation,pareto_front
0.5,0.7,0.0,200,100,22,0,0.0,False,0.46080537,0.35028714,0.11783559,0.16378302,0.00108354,0.00244087,246.95371504,242.53556439,True
0.5,0.7,0.0,500,100,1,0,0.0,False,0.3224663,0.25002276,0.13284296,0.1095715,0.00579943,0.00960999,126.41867197,154.71940082,True
0.5,0.7,0.0,1000,100,0,0,0.0,False,0.2266939,0.19645368,0.14248341,0.10609277,0.01589959,0.0152776,54.83179686,62.93609492,True
0.5,0.7,0.1,200,100,22,0,0.0,False,0.48992723,0.37318922,0.10121126,0.13228424,0.00117106,0.00271334,262.98590191,238.65883728,True
0.5,0.7,0.1,500,100,8,0,0.0,False,0.32727662,0.24398176,0.1286052,0.11269671,0.00611387,0.01033812,151.06394817,182.35324288,True
0.5,0.7,0.1,1000,100,0,0,0.0,False,0.21436844,0.15623515,0.13967853,0.10188095,0.01618687,0.0150463,66.84084541,75.76177184,True
0.5,0.8,-0.1,200,95,66,5,0.05,False,0.83208598,0.55832411,0.0235354,0.02743356,0.00047235,0.00053351,428.25512794,254.56129436,False
0.5,0.8,-0.1,500,100,64,0,0.0,False,0.89825368,0.56794753,0.02117327,0.0184159,0.00043484,0.00045185,422.10285123,249.42877295,True
0.5,0.8,-0.1,1000,100,54,0,0.0,False,0.76577771,0.49175437,0.02652181,0.02839998,0.00110695,0.00170663,386.10005265,248.23435096,True
0.5,0.8,0.0,200,98,71,2,0.02,False,0.83897057,0.48113491,0.02487015,0.01714291,0.00061439,0.00069119,459.71340278,233.72823125,False
0.5,0.8,0.0,500,100,69,0,0.0,False,0.9550661,0.54301226,0.02314578,0.02142858,0.00066845,0.00217428,452.28570818,233.20610628,True
0.5,0.8,0.0,1000,100,61,0,0.0,False,0.87617038,0.48581969,0.02475796,0.02541809,0.00115708,0.00241521,426.36919589,234.84589135,False
0.5,0.8,0.1,200,96,66,4,0.04,False,0.93691761,0.55142687,0.02375274,0.01712375,0.00055888,0.00064365,449.05583622,231.57476718,True
0.5,0.8,0.1,500,99,65,1,0.01,False,0.95372327,0.54213102,0.02589464,0.02672867,0.0005349,0.00056156,436.11393011,237.91724214,True
0.5,0.8,0.1,1000,100,56,0,0.0,False,0.83711924,0.49266504,0.02887453,0.02993076,0.00158163,0.00305947,404.36192957,240.90421269,False
0.6,0.4,-0.1,200,100,0,0,0.0,False,0.00025163,0.0025163,0.09,0.53361735,0.02,0.14070529,1.17,1.06415424,False
0.6,0.4,-0.1,500,100,0,0,0.0,False,0.00025163,0.0025163,0.09,0.53361735,0.02,0.14070529,1.17,1.06415424,False
0.6,0.4,-0.1,1000,100,0,0,0.0,False,0.00025163,0.0025163,0.09,0.53361735,0.02,0.14070529,1.17,1.06415424,False
0.6,0.4,0.0,200,100,0,0,0.0,False,0.00252792,0.01778872,0.01933333,0.14565769,0.00333333,0.03333333,1.02911533,0.2250184,True
0.6,0.4,0.0,500,100,0,0,0.0,False,0.00252792,0.01778872,0.01933333,0.14565769,0.00333333,0.03333333,1.02911533,0.2250184,True
0.6,0.4,0.0,1000,100,0,0,0.0,False,0.00252792,0.01778872,0.01933333,0.14565769,0.00333333,0.03333333,1.02911533,0.2250184,True
0.6,0.4,0.1,200,100,0,0,0.0,False,0.00124763,0.01247633,0.048,0.4071284,0.01,0.1,1.10025474,0.90479361,False
0.6,0.4,0.1,500,100,0,0,0.0,False,0.00124763,0.01247633,0.048,0.4071284,0.01,0.1,1.10025474,0.90479361,False
0.6,0.4,0.1,1000,100,0,0,0.0,False,0.00124763,0.01247633,0.048,0.4071284,0.01,0.1,1.10025474,0.90479361,False
0.6,0.5,-0.1,200,100,0,0,0.0,False,0.03296308,0.08330085,0.14618014,0.41928936,0.00579106,0.03440967,1.63320057,1.73584496,True
0.6,0.5,-0.1,500,100,0,0,0.0,False,0.03296308,0.08330085,0.14618014,0.41928936,0.00579106,0.03440967,1.63320057,1.73584496,True
0.6,0.5,-0.1,1000,100,0,0,0.0,False,0.03296308,0.08330085,0.14618014,0.41928936,0.00579106,0.03440967,1.63320057,1.73584496,True
0.6,0.5,0.0,200,100,0,0,0.0,False,0.04909873,0.12326612,0.15182205,0.40014496,0.00652778,0.04267372,1.6592173,1.63680635,True
0.6,0.5,0.0,500,100,0,0,0.0,False,0.04909873,0.12326612,0.15182205,0.40014496,0.00652778,0.04267372,1.6592173,1.63680635,True
0.6,0.5,0.0,1000,100,0,0,0.0,False,0.04909873,0.12326612,0.15182205,0.40014496,0.00652778,0.04267372,1.6592173,1.63680635,True
0.6,0.5,0.1,200,100,0,0,0.0,False,0.05132474,0.10382792,0.19661793,0.4489347,0.00369613,0.0144116,1.77085093,1.56103858,True
0.6,0.5,0.1,500,100,0,0,0.0,False,0.05132474,0.10382792,0.19661793,0.4489347,0.00369613,0.0144116,1.77085093,1.56103858,True
0.6,0.5,0.1,1000,100,0,0,0.0,False,0.05132474,0.10382792,0.19661793,0.4489347,0.00369613,0.0144116,1.77085093,1.56103858,True
0.6,0.6,-0.1,200,100,0,0,0.0,False,0.14778468,0.18998821,0.24235545,0.44006676,0.00874265,0.02345535,7.6558516,16.64301058,False
0.6,0.6,-0.1,500,100,0,0,0.0,False,0.13794694,0.17345919,0.24486653,0.43804587,0.00931968,0.02361347,6.24447481,6.95735852,True
0.6,0.6,-0.1,1000,100,0,0,0.0,False,0.13794694,0.17345919,0.24486653,0.43804587,0.00931968,0.02361347,6.24447481,6.95735852,True
0.6,0.6,0.0,200,100,0,0,0.0,False,0.18622548,0.22753787,0.18661892,0.21926302,0.00616633,0.01149414,6.77144673,8.58505409,True
0.6,0.6,0.0,500,100,0,0,0.0,False,0.16517817,0.18949604,0.19637104,0.22195971,0.00692162,0.0121253,6.26277815,6.8750016,True
0.6,0.6,0.0,1000,100,0,0,0.0,False,0.16517817,0.18949604,0.19637104,0.22195971,0.00692162,0.0121253,6.26277815,6.8750016,True
0.6,0.6,0.1,200,100,0,0,0.0,False,0.14219981,0.19634959,0.19007347,0.36259251,0.00562248,0.01356259,8.01094467,15.61867254,True
0.6,0.6,0.1,500,100,0,0,0.0,False,0.12216598,0.16270146,0.19747995,0.36123411,0.0065937,0.01417868,6.20763332,7.48665367,False
0.6,0.6,0.1,1000,100,0,0,0.0,False,0.12216598,0.16270146,0.19747995,0.36123411,0.0065937,0.01417868,6.20763332,7.48665367,False
0.6,0.7,-0.1,200,100,6,0,0.0,False,0.36407066,0.32161052,0.1844403,0.20506129,0.0010966,0.00240442,147.16308837,182.23986288,True
0.6,0.7,-0.1,500,100,0,0,0.0,False,0.24546107,0.20086849,0.16558583,0.14268803,0.00585355,0.00666927,52.94619032,91.84193162,True
0.6,0.7,-0.1,1000,100,0,0,0.0,False,0.18279612,0.16441729,0.19713111,0.15001184,0.01035321,0.00977441,28.49890547,27.17162825,False
0.6,0.7,0.0,200,100,4,0,0.0,False,0.33400464,0.30841381,0.18008972,0.21461945,0.00123488,0.00292643,135.6593431,178.88888474,True
0.6,0.7,0.0,500,100,0,0,0.0,False,0.23250846,0.20115787,0.16106238,0.13925121,0.00553162,0.006997,43.40669007,61.24031335,True
0.6,0.7,0.0,1000,100,0,0,0.0,False,0.18691666,0.17776768,0.17756985,0.14562691,0.0095583,0.00957652,25.68829842,23.2126782,True
0.6,0.7,0.1,200,100,5,0,0.0,False,0.3648816,0.33724763,0.16164492,0.20575771,0.00101356,0.00306112,150.5609764,185.32163569,True
0.6,0.7,0.1,500,100,0,0,0.0,False,0.22264035,0.1903422,0.17267892,0.14960641,0.00520298,0.00714142,44.58950391,58.55120852,True
0.6,0.7,0.1,1000,100,0,0,0.0,False,0.16464892,0.15387172,0.20217344,0.16074476,0.00945315,0.00953223,25.97044504,22.23915295,False
0.6,0.8,-0.1,200,96,54,4,0.04,False,0.57993391,0.45943805,0.03280725,0.04846146,0.00033677,0.00046899,374.2232305,272.48674046,True
0.6,0.8,-0.1,500,100,46,0,0.0,False,0.55476318,0.40252598,0.03406134,0.03642872,0.00030388,0.00086964,355.66375489,264.17096828,True
0.6,0.8,-0.1,1000,100,28,0,0.0,False,0.42622689,0.33921254,0.05115824,0.05561047,0.00118398,0.00236524,286.24094591,246.34147639,True
0.6,0.8,0.0,200,93,59,7,0.07,True,0.59922388,0.40561339,0.0354711,0.06293816,0.00036376,0.00044054,423.58384825,256.56392617,True
0.6,0.8,0.0,500,99,56,1,0.01,False,0.59435896,0.37165895,0.03622737,0.03862123,0.00021143,0.00024672,407.37558646,250.80133182,True
