x,y,z,phenotype,oxygen,C,b,d,sim_time
-4,12,-15,surface,0.864,0.136,0.5348,0.0408,40
-16,-7,3,surface,0.981414,0.018586,0.75699,0.005576,40
-2,1,13,surface,0.983844,0.016156,0.758691,0.004847,40
5,5,-15,surface,0.987635,0.012365,0.621345,0.003709,40
-5,5,-14,surface,0.990509,0.009491,0.763356,0.002847,40
3,-1,11,surface,0.99368,0.00632,0.625576,0.001896,40
6,7,-15,surface,0.990727,0.009273,0.623509,0.002782,40
-10,3,-13,surface,0.996909,0.003091,0.627836,0.000927,40
11,-8,-1,surface,0.996909,0.003091,0.767836,0.000927,40
13,7,8,surface,0.999558,0.000442,0.629691,0.000133,40
7,-9,-9,surface,0.993818,0.006182,0.625673,0.001855,40
-11,-8,-9,surface,0.993818,0.006182,0.625673,0.001855,40
-16,-8,4,surface,0.984541,0.015459,0.619178,0.004638,40
-12,1,11,surface,0.993737,0.006263,0.625616,0.001879,40
1,2,12,surface,0.983916,0.016084,0.618741,0.004825,40
12,1,7,surface,0.999116,0.000884,0.769381,0.000265,40
-8,-5,-10,surface,0.99352,0.00648,0.765464,0.001944,40
7,-7,-9,surface,0.987635,0.012365,0.761345,0.003709,40
9,-6,5,surface,0.999211,0.000789,0.629448,0.000237,40
-5,-14,7,surface,0.993809,0.006191,0.765666,0.001857,40
-16,-6,4,surface,0.987591,0.012409,0.621313,0.003723,40
6,-6,7,surface,0.985367,0.014633,0.759757,0.00439,40
-3,2,-13,surface,0.987575,0.012425,0.621303,0.003727,40
4,4,-15,surface,0.990727,0.009273,0.623509,0.002782,40
-8,4,14,surface,0.996909,0.003091,0.627836,0.000927,40
-11,6,9,surface,0.993818,0.006182,0.625673,0.001855,40
-4,3,14,surface,0.996909,0.003091,0.767836,0.000927,40
3,0,12,surface,0.99984,0.00016,0.629888,4.8e-05,40
15,4,-10,surface,0.996909,0.003091,0.627836,0.000927,40
6,-3,7,surface,0.999759,0.000241,0.629831,7.2e-05,40
14,-4,2,surface,1.0,0.0,0.77,0.0,40
1,-1,12,surface,0.984227,0.015773,0.618959,0.004732,40
2,-5,13,surface,0.989445,0.010555,0.622612,0.003166,40
12,-3,5,surface,0.999876,0.000124,0.629913,3.7e-05,40
-15,-5,-6,surface,0.996901,0.003099,0.62783,0.00093,40
-1,-8,13,surface,0.999531,0.000469,0.629672,0.000141,40
15,6,-3,surface,0.981236,0.018764,0.756865,0.005629,40
5,11,12,surface,0.996909,0.003091,0.627836,0.000927,40
10,-10,-1,surface,0.993811,0.006189,0.625668,0.001857,40
-2,-8,12,surface,0.992116,0.007884,0.624481,0.002365,40
-15,-1,7,surface,0.996908,0.003092,0.627836,0.000928,40
-16,-1,-5,surface,0.990568,0.009432,0.763398,0.00283,40
3,-10,8,surface,0.99999,1e-05,0.769993,3e-06,40
11,-6,-7,surface,0.98702,0.01298,0.760914,0.003894,40
2,14,-14,surface,0.993818,0.006182,0.625673,0.001855,40
12,10,-11,surface,0.996909,0.003091,0.767836,0.000927,40
-17,-5,-4,surface,0.998968,0.001032,0.769278,0.00031,40
12,-7,-3,surface,0.996905,0.003095,0.627834,0.000928,40
