alpha,beta,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.7,0.3,143,143,ok,0,0,0,0,0.8886,0.0,0.0,0.0,1.0
0.5,0.7,165,165,ok,0,0,0,0,0.9109,0.0,0.0,0.0,1.0
0.6,0.6,37,37,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.3,0.3,163,163,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.4,0.6,44,44,ok,128,12,140,51,226.6792,0.37395676,0.36428571,0.08571429,15.36905512
0.6,0.3,141,141,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.4,0.7,125,125,ok,7410,24,7434,1273,896.9026,0.60173102,0.17124025,0.00322841,172.24043287
0.7,0.4,107,107,ok,0,0,0,0,1.6661,0.0,0.0,0.0,1.0
0.4,0.8,112,112,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.6,0.3,85,85,ok,0,0,0,0,0.8886,0.0,0.0,0.0,1.0
0.3,0.6,61,61,ok,0,0,0,0,1.1584,0.0,0.0,0.0,1.0
0.3,0.5,172,172,ok,0,0,0,1,1.4892,0.0,0.0,0.0,1.0
0.2,0.8,15,15,capped,59033,136,59169,408,3463.6301,3.35505496,0.0068955,0.0022985,589.72819955
0.6,0.4,87,87,ok,0,0,0,0,3.9088,0.0,0.0,0.0,1.0
